n,k_theta_rho_i,matlab_gamma,python_gamma,gamma_diff_python_minus_matlab,matlab_omega,python_omega,omega_diff_python_minus_matlab,python_gamma_raw,python_omega_raw
4,0.0793634912,0.3397,-0.014723455441656949,-0.35442345544165693,-0.0322,-0.04418154676811139,-0.01198154676811139,-0.012080783952128778,-0.14500610221328866
8,0.1587269824,0.6719,0.06957518412544231,-0.6023248158745578,0.028,-0.06445235933438302,-0.09245235933438302,0.05708733056446548,-0.2115359485846417
12,0.23809047359999994,0.9471,0.16873379534325186,-0.7783662046567482,0.1009,-0.07846469400477754,-0.17936469400477756,0.1384482423329246,-0.2575251495541417
16,0.3174539648,1.134,0.216042293571379,-0.9179577064286208,0.0324,-0.1019135722033074,-0.13431357220330742,0.17726547164831097,-0.33448557030829096
20,0.39681745599999996,1.404,0.26167065128729117,-1.1423293487127086,-0.0334,-0.11957767433093153,-0.08617767433093153,0.21470412413316198,-0.3924600593425445
24,0.47618094719999987,1.5643,0.25358834645768746,-1.3107116535423127,0.1229,-0.15169555999395312,-0.27459555999395313,0.20807248940117945,-0.49787260715964105
28,0.5555444383999999,1.6121,0.2185949264315183,-1.3935050735684817,0.0308,-0.1763939065441786,-0.2071939065441786,0.17935993963611757,-0.5789338471193555
32,0.6349079296,1.5404,0.16786053260515313,-1.3725394673948468,-0.0529,-0.20300887712146143,-0.15010887712146143,0.13773171906063847,-0.6662855454242836
36,0.7142714208,1.4142,0.10489386385303955,-1.3093061361469605,-0.125,-0.2340413575811563,-0.1090413575811563,0.08606676008454527,-0.7681357377022565
40,0.7936349119999999,1.2302,0.03950937264841301,-1.190690627351587,-0.1743,-0.2763328934847083,-0.10203289348470829,0.03241794678844145,-0.9069387273344272
44,0.8729984031999999,1.0456,-0.019260977527343938,-1.064860977527344,-0.2305,-0.32787937419747676,-0.09737937419747675,-0.015803878996795025,-1.0761169204430006
48,0.9523618943999997,0.8424,-0.06776600176293768,-0.9101660017629377,-0.26,-0.3789454995661671,-0.11894549956616707,-0.055602873241384757,-1.2437185626787022
