n,k_theta_rho_i,matlab_gamma,python_gamma,gamma_diff_python_minus_matlab,matlab_omega,python_omega,omega_diff_python_minus_matlab,python_gamma_raw,python_omega_raw
4,0.0793634912,0.3397,5.920251886270568,5.580551886270569,-0.0322,-0.021649643834895718,0.010550356165104281,4.85764257335021,-0.07105524130427313
8,0.1587269824,0.6719,5.952791578356433,5.280891578356433,0.028,-0.0290287495551819,-0.057028749555181904,4.884341807882202,-0.09527384469393034
12,0.23809047359999994,0.9471,5.988922353262061,5.041822353262061,0.1009,-0.03592655910128501,-0.13682655910128502,4.913987571907332,-0.11791280935806363
16,0.3174539648,1.134,6.022498241207028,4.888498241207028,0.0324,-0.05366939876849684,-0.08606939876849684,4.9415370184262795,-0.17614571903506657
20,0.39681745599999996,1.404,8.178506855847019,6.774506855847019,-0.0334,-0.14999686503069953,-0.11659686503069953,6.710569727874477,-0.4922974031776805
24,0.47618094719999987,1.5643,7.783038198207638,6.218738198207638,0.1229,-0.2237569451966039,-0.3466569451966039,6.38608262417037,-0.7343817688503923
28,0.5555444383999999,1.6121,7.536101866366042,5.9240018663660425,0.0308,-0.3743325679870558,-0.40513256798705577,6.183468198043932,-1.2285786846754652
32,0.6349079296,1.5404,7.383772914304203,5.843372914304203,-0.0529,-0.6088592710758622,-0.5559592710758623,6.05848033994191,-1.998307351223343
36,0.7142714208,1.4142,8.597440075974964,7.183240075974964,-0.125,-0.7066720514055147,-0.5816720514055147,7.054309805928175,-2.319333912305279
40,0.7936349119999999,1.2302,8.34999717230101,7.119797172301009,-0.1743,-0.9302635312219839,-0.7559635312219839,6.851279731118777,-3.0531726152926653
44,0.8729984031999999,1.0456,7.691674867950921,6.6460748679509205,-0.2305,-0.3243970792677312,-0.09389707926773119,6.311117840369986,-1.0646878499043486
48,0.9523618943999997,0.8424,8.104104111894461,7.261704111894462,-0.26,-0.08969820245549624,0.17030179754450375,6.649521322580071,-0.2943941003667569
