n,k_theta_rho_i,matlab_gamma,python_te_dt0p01_gamma,python_eg_gamma,te_gamma_diff_python_minus_matlab,eg_gamma_diff_python_minus_matlab,matlab_omega,python_te_dt0p01_omega,python_eg_omega,te_omega_diff_python_minus_matlab,eg_omega_diff_python_minus_matlab
4,0.0793634912,0.3397,-0.014723455441656949,-0.01322992488426385,-0.35442345544165693,-0.35292992488426383,-0.0322,-0.04418154676811139,-0.08745052279312604,-0.01198154676811139,-0.05525052279312604
8,0.1587269824,0.6719,0.06957518412544231,0.06577545993150466,-0.6023248158745578,-0.6061245400684954,0.028,-0.06445235933438302,-0.06843002070735005,-0.09245235933438302,-0.09643002070735004
12,0.23809047359999994,0.9471,0.16873379534325186,0.1558814519155569,-0.7783662046567482,-0.7912185480844431,0.1009,-0.07846469400477754,-0.06453546901946823,-0.17936469400477756,-0.16543546901946823
16,0.3174539648,1.134,0.216042293571379,0.22160238399697474,-0.9179577064286208,-0.9123976160030252,0.0324,-0.1019135722033074,-0.09406635407252047,-0.13431357220330742,-0.12646635407252046
20,0.39681745599999996,1.404,0.26167065128729117,0.2237651187204764,-1.1423293487127086,-1.1802348812795236,-0.0334,-0.11957767433093153,-0.12069720416473502,-0.08617767433093153,-0.08729720416473502
24,0.47618094719999987,1.5643,0.25358834645768746,0.18891163016548712,-1.3107116535423127,-1.3753883698345128,0.1229,-0.15169555999395312,-0.14747421445746287,-0.27459555999395313,-0.27037421445746285
28,0.5555444383999999,1.6121,0.2185949264315183,0.14265271166583549,-1.3935050735684817,-1.4694472883341647,0.0308,-0.1763939065441786,-0.1576013786149561,-0.2071939065441786,-0.1884013786149561
32,0.6349079296,1.5404,0.16786053260515313,0.08933639801535269,-1.3725394673948468,-1.4510636019846472,-0.0529,-0.20300887712146143,-0.16940817735932198,-0.15010887712146143,-0.11650817735932198
36,0.7142714208,1.4142,0.10489386385303955,0.024868096049043015,-1.3093061361469605,-1.3893319039509568,-0.125,-0.2340413575811563,-0.1846187451450358,-0.1090413575811563,-0.05961874514503579
40,0.7936349119999999,1.2302,0.03950937264841301,-0.02561121808148211,-1.190690627351587,-1.255811218081482,-0.1743,-0.2763328934847083,-0.18728449136109276,-0.10203289348470829,-0.012984491361092754
44,0.8729984031999999,1.0456,-0.019260977527343938,-0.14573744362046884,-1.064860977527344,-1.191337443620469,-0.2305,-0.32787937419747676,-0.9106130042941462,-0.09737937419747675,-0.6801130042941461
48,0.9523618943999997,0.8424,-0.06776600176293768,-0.15255370695409087,-0.9101660017629377,-0.9949537069540909,-0.26,-0.3789454995661671,-0.9827193145506078,-0.11894549956616707,-0.7227193145506078
