source,n,k_theta_rho_i,gamma,omega,method,m,p_or_nwaverad,r_num_or_jmax,dt
MATLAB jmax=256 nwaverad=50,5,0.09920436399999999,0.0302,-0.0586,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,10,0.19840872799999998,0.121,-0.054,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,15,0.29761309199999997,0.2208,-0.0877,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,20,0.39681745599999996,0.2557,-0.112,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,25,0.49602182,0.25,-0.1396,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,30,0.5952261839999999,0.2215,-0.1612,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,35,0.6944305479999999,0.1651,-0.194,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,40,0.7936349119999999,0.1066,-0.2048,matlab,150,50,256,
MATLAB jmax=256 nwaverad=50,45,0.892839276,0.0603,-0.217,matlab,150,50,256,
Python TE dt=0.01 r_num=8192,4,0.0793634912,-0.014723455441656949,-0.04418154676811139,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,8,0.1587269824,0.06957518412544231,-0.06445235933438302,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,12,0.23809047359999994,0.16873379534325186,-0.07846469400477754,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,16,0.3174539648,0.216042293571379,-0.1019135722033074,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,20,0.39681745599999996,0.26167065128729117,-0.11957767433093153,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,24,0.47618094719999987,0.25358834645768746,-0.15169555999395312,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,28,0.5555444383999999,0.2185949264315183,-0.1763939065441786,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,32,0.6349079296,0.16786053260515313,-0.20300887712146143,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,36,0.7142714208,0.10489386385303955,-0.2340413575811563,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,40,0.7936349119999999,0.03950937264841301,-0.2763328934847083,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,44,0.8729984031999999,-0.019260977527343938,-0.32787937419747676,time_evolution,150,50,8192,0.01
Python TE dt=0.01 r_num=8192,48,0.9523618943999997,-0.06776600176293768,-0.3789454995661671,time_evolution,150,50,8192,0.01
Python eigenproblem r_num=8192,4,0.0793634912,-0.01322992488426385,-0.08745052279312604,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,8,0.1587269824,0.06577545993150466,-0.06843002070735005,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,12,0.23809047359999994,0.1558814519155569,-0.06453546901946823,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,16,0.3174539648,0.22160238399697474,-0.09406635407252047,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,20,0.39681745599999996,0.2237651187204764,-0.12069720416473502,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,24,0.47618094719999987,0.18891163016548712,-0.14747421445746287,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,28,0.5555444383999999,0.14265271166583549,-0.1576013786149561,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,32,0.6349079296,0.08933639801535269,-0.16940817735932198,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,36,0.7142714208,0.024868096049043015,-0.1846187451450358,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,40,0.7936349119999999,-0.02561121808148211,-0.18728449136109276,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,44,0.8729984031999999,-0.14573744362046884,-0.9106130042941462,eigenproblem,150,50,8192,
Python eigenproblem r_num=8192,48,0.9523618943999997,-0.15255370695409087,-0.9827193145506078,eigenproblem,150,50,8192,
